PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
22.0,82,82,3144.0,837,1625,0.515,9.0,52.0,0.173,630,746,0.845,167.0,367.0,534.0,481,196.0,69.0,291.0,285,2313
23.0,18,7,451.0,150,328,0.457,3.0,18.0,0.167,105,125,0.84,23.0,41.0,64.0,53,37.0,21.0,45.0,46,408
21.0,81,81,3071.0,733,1304,0.562,0.0,2.0,0.0,427,721,0.592,342.0,780.0,1122.0,152,60.0,286.0,307.0,321,1893
22.0,81,81,3224.0,953,1591,0.599,0.0,2.0,0.0,471,850,0.554,384.0,688.0,1072.0,195,76.0,231.0,222.0,281,2377
22.0,82,82,2914.0,677,1258,0.538,0.0,0.0,0.0,338,551,0.613,440.0,534.0,974.0,111,99.0,220.0,234.0,344,1692
23.0,68,68,2467.0,625,1188,0.526,0.0,0.0,0.0,347,538,0.645,333.0,448.0,781.0,137,134.0,231.0,195.0,271,1597
22.0,81,76,2475.0,504,1016,0.496,0.0,2.0,0.0,195,405,0.481,174.0,544.0,718.0,236,105.0,44.0,279.0,295,1203
23.0,82,82,2857.0,728,1422,0.512,0.0,7.0,0.0,323,540,0.598,278.0,577.0,855.0,158,104.0,60.0,237.0,323,1779
22.0,82,60,2347.0,427,783,0.545,1.0,6.0,0.167,293,400,0.733,266.0,437.0,703.0,155,95.0,80.0,209.0,301,1148
23.0,80,80,2952.0,595,1041,0.572,17.0,75.0,0.227,396,578,0.685,354.0,672.0,1026.0,312,173.0,125.0,350.0,333,1603
21.0,72,72,2433.0,453,1068,0.424,17.0,59.0,0.288,302,429,0.704,57.0,152.0,209.0,565,150.0,17.0,299.0,253,1225
22.0,81,81,3093.0,725,1537,0.472,36.0,125.0,0.288,368,518,0.71,105.0,223.0,328.0,634,199.0,29.0,326.0,318,1854
22.0,79,0,1650.0,261,564,0.463,4.0,23.0,0.174,99,172,0.576,115.0,183.0,298.0,169,91.0,52.0,131.0,214,625
23.0,73,56,2413.0,413,867,0.476,21.0,77.0,0.273,201,301,0.668,138.0,307.0,445.0,256,139.0,61.0,199.0,261,1048
24.0,82,81,3002.0,690,1300,0.531,0.0,2.0,0.0,613,837,0.732,303.0,680.0,983.0,164,138.0,319.0,257.0,259,1993
25.0,82,81,3095.0,754,1366,0.552,1.0,7.0,0.143,592,777,0.762,335.0,728.0,1063.0,208,127.0,320.0,270.0,264,2101
23.0,82,5,1490.0,157,333,0.471,2.0,11.0,0.182,142,193,0.736,26.0,79.0,105.0,415,109.0,11.0,150.0,203,458
24.0,82,38,1935.0,228,466,0.489,2.0,15.0,0.133,172,205,0.839,33.0,146.0,179.0,610,157.0,10.0,168.0,227,630
24.0,82,33,2332.0,465,875,0.531,0.0,0.0,0.0,187,248,0.754,191.0,365.0,556.0,91,30.0,185.0,137.0,264,1117
22.0,79,79,2668.0,330,857,0.385,70.0,257.0,0.272,192,275,0.698,152.0,278.0,430.0,607,151.0,24.0,250.0,146,922
