player_name,age,player_height,draft_year,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,ovrdraftpick
Randy Livingston,22,193.04,1996,64,3.9,1.5,2.4,0.3,0.042,0.071,0.169,0.487,0.248,1996,84
Erick Dampier,21,210.82,1996,72,5.1,4.1,0.6,-2.0,0.107,0.216,0.218,0.451,0.074,1996,10
Jerome Williams,24,205.74,1996,33,1.5,1.5,0.2,3.0,0.144,0.182,0.181,0.419,0.071,1996,26
John Wallace,23,205.74,1996,68,4.8,2.3,0.5,2.7,0.08,0.148,0.204,0.571,0.081,1996,18
Jermaine O'Neal,18,210.82,1996,45,4.1,2.8,0.2,1.3,0.099,0.198,0.199,0.494,0.03,1996,17
Jeff McInnis,22,193.04,1996,13,5.0,0.5,1.4,-17.8,0.021,0.04,0.259,0.609,0.327,1996,74
Jamie Feick,22,203.2,1996,41,3.7,5.2,0.6,-12.2,0.133,0.253,0.15,0.405,0.065,1996,96
Jason Sasser,23,200.66,1996,8,2.4,1.0,0.3,-24.2,0.018,0.14,0.172,0.413,0.067,1996,82
Chris Robinson,23,195.58,1996,41,4.6,1.7,1.6,-11.4,0.039,0.088,0.155,0.486,0.156,1996,102
Brian Evans,23,203.2,1996,14,1.4,0.6,0.5,-12.5,0.017,0.121,0.168,0.455,0.194,1996,27
Derek Fisher,22,185.42,1996,80,3.9,1.2,1.5,5.1,0.031,0.087,0.186,0.491,0.223,1996,24
Shandon Anderson,23,198.12,1996,65,5.9,2.8,0.8,2.5,0.065,0.139,0.193,0.534,0.074,1996,108
Shareef Abdur-Rahim,20,205.74,1996,80,18.7,6.9,2.2,-12.3,0.089,0.142,0.275,0.518,0.12,1996,3
Samaki Walker,21,205.74,1996,43,4.9,3.4,0.4,-12.6,0.094,0.198,0.201,0.485,0.05,1996,9
Roy Rogers,23,208.28,1996,82,6.6,4.7,0.6,-13.6,0.088,0.155,0.154,0.518,0.042,1996,22
Stephon Marbury,20,187.96,1996,67,15.8,2.7,7.8,-3.1,0.028,0.066,0.244,0.519,0.373,1996,4
Steve Hamer,23,213.36,1996,35,2.2,1.7,0.2,-3.1,0.065,0.181,0.126,0.545,0.037,1996,76
Steve Nash,23,190.5,1996,65,3.3,1.0,2.1,-8.5,0.026,0.083,0.17,0.539,0.301,1996,15
Walter McCarty,23,208.28,1996,35,1.8,0.7,0.4,3.2,0.056,0.08,0.217,0.431,0.116,1996,19
Vitaly Potapenko,22,208.28,1996,80,5.8,2.7,0.5,-0.2,0.106,0.119,0.234,0.486,0.064,1996,12
Travis Knight,22,213.36,1996,71,4.8,4.5,0.5,6.2,0.127,0.182,0.142,0.536,0.052,1996,29
Todd Fuller,22,210.82,1996,75,4.0,3.3,0.3,-8.6,0.127,0.171,0.166,0.48,0.04,1996,11
Tony Delk,23,187.96,1996,61,5.4,1.6,1.6,0.9,0.044,0.09,0.182,0.596,0.187,1996,16
Lorenzen Wright,21,210.82,1996,77,7.3,6.1,0.6,-3.7,0.12,0.168,0.146,0.503,0.039,1996,7
Malik Rose,22,200.66,1996,54,3.0,3.0,0.6,1.3,0.169,0.219,0.161,0.515,0.089,1996,88
Marcus Brown,23,190.5,1996,21,3.9,0.7,1.0,4.0,0.027,0.07,0.221,0.523,0.169,1996,92
Marcus Camby,23,210.82,1996,63,14.8,6.3,1.5,-1.5,0.079,0.165,0.241,0.523,0.092,1996,2
Kerry Kittles,23,195.58,1996,82,16.4,3.9,3.0,-5.2,0.035,0.082,0.199,0.523,0.139,1996,8
Kobe Bryant,18,200.66,1996,71,7.6,1.9,1.3,2.2,0.048,0.084,0.244,0.544,0.144,1996,13
Mark Hendrickson,23,205.74,1996,29,2.9,3.2,0.1,-5.1,0.113,0.201,0.133,0.481,0.014,1996,62
Othella Harrington,23,205.74,1996,57,4.8,3.5,0.3,0.4,0.103,0.155,0.154,0.57,0.033,1996,60
Priest Lauderdale,23,223.52,1996,35,3.2,1.2,0.3,-4.0,0.093,0.164,0.284,0.56,0.107,1996,28
Ray Allen,21,195.58,1996,82,13.4,4.0,2.6,-2.0,0.046,0.109,0.211,0.541,0.133,1996,5
Reggie Geary,23,187.96,1996,39,1.5,0.4,0.9,7.7,0.019,0.054,0.154,0.454,0.269,1996,112
Martin Muursepp,22,205.74,1996,42,3.7,1.6,0.5,-14.5,0.109,0.118,0.233,0.482,0.114,1996,25
Moochie Norris,23,187.96,1996,8,1.5,1.5,2.9,-30.5,0.038,0.105,0.149,0.248,0.418,1996,66
Ben Davis,24,205.74,1996,20,1.5,1.4,0.0,-0.4,0.132,0.192,0.156,0.417,0.0,1996,86
Antoine Walker,20,205.74,1996,82,17.5,9.0,3.2,-9.3,0.103,0.189,0.251,0.474,0.15,1996,6
Allen Iverson,22,182.88,1996,76,23.5,4.1,7.5,-7.0,0.04,0.072,0.284,0.513,0.32,1996,1
Amal McCaskill,23,210.82,1996,17,1.6,1.3,0.4,-15.7,0.038,0.2,0.206,0.376,0.146,1996,98
Maurice Taylor,21,205.74,1997,71,11.5,4.2,0.7,-9.5,0.089,0.136,0.262,0.521,0.069,1997,14
Kelvin Cato,23,210.82,1997,74,3.8,3.4,0.3,-2.3,0.103,0.173,0.147,0.496,0.038,1997,15
