player_name,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,isallstar
Randy Livingston,22,64,3.9,1.5,2.4,0.3,0.042,0.071,0.169,0.487,0.248,0
George Zidek,23,52,2.8,1.7,0.3,-14.1,0.102,0.169,0.195,0.5,0.064,0
Gary Trent,22,82,10.8,5.2,1.1,2.5,0.101,0.167,0.212,0.569,0.077,0
Greg Ostertag,24,77,7.3,7.3,0.4,15.9,0.133,0.246,0.146,0.561,0.021,0
Eric Snow,24,67,3.0,1.0,2.4,-1.2,0.027,0.085,0.145,0.515,0.339,0
Eric Williams,24,72,15.0,4.6,1.8,-6.8,0.057,0.107,0.207,0.533,0.087,0
Erick Dampier,21,72,5.1,4.1,0.6,-2.0,0.107,0.216,0.218,0.451,0.074,0
Frankie King,25,7,2.9,2.0,0.7,1.4,0.065,0.156,0.13,0.521,0.106,0
Fred Hoiberg,24,47,4.8,1.7,0.9,4.9,0.028,0.146,0.172,0.59,0.122,0
Jerome Williams,24,33,1.5,1.5,0.2,3.0,0.144,0.182,0.181,0.419,0.071,0
Jerry Stackhouse,22,81,20.7,4.2,3.1,-6.8,0.053,0.063,0.254,0.524,0.134,1
Jimmy King,23,2,3.0,1.0,1.0,-42.5,0.08,0.0,0.162,0.387,0.2,0
John Wallace,23,68,4.8,2.3,0.5,2.7,0.08,0.148,0.204,0.571,0.081,0
Joe Smith,21,80,18.7,8.5,1.6,-3.3,0.103,0.163,0.239,0.512,0.07,0
Jerome Allen,24,76,3.0,1.3,2.0,-3.7,0.031,0.088,0.154,0.449,0.264,0
Jermaine O'Neal,18,45,4.1,2.8,0.2,1.3,0.099,0.198,0.199,0.494,0.03,1
Jeff McInnis,22,13,5.0,0.5,1.4,-17.8,0.021,0.04,0.259,0.609,0.327,0
Jamie Feick,22,41,3.7,5.2,0.6,-12.2,0.133,0.253,0.15,0.405,0.065,0
Jason Caffey,24,75,7.3,4.0,1.2,9.0,0.114,0.134,0.184,0.574,0.094,0
Jason Sasser,23,8,2.4,1.0,0.3,-24.2,0.018,0.14,0.172,0.413,0.067,0
Chris Robinson,23,41,4.6,1.7,1.6,-11.4,0.039,0.088,0.155,0.486,0.156,0
Corliss Williamson,23,79,11.6,4.1,1.6,-4.2,0.082,0.112,0.23,0.535,0.108,0
Cory Alexander,24,80,7.2,1.5,3.2,-8.8,0.023,0.081,0.218,0.528,0.3,0
Cuonzo Martin,25,3,0.0,0.3,0.3,-12.1,0.048,0.0,0.214,0.0,0.1,0
Chris Carr,23,55,6.1,2.1,0.9,3.8,0.043,0.116,0.184,0.558,0.099,0
Brian Evans,23,14,1.4,0.6,0.5,-12.5,0.017,0.121,0.168,0.455,0.194,0
Bryant Reeves,24,75,16.2,8.1,2.1,-10.6,0.072,0.185,0.223,0.523,0.106,0
Cherokee Parks,24,76,3.3,2.6,0.4,-0.6,0.098,0.135,0.123,0.535,0.055,0
Damon Stoudamire,23,81,20.2,4.1,8.8,-3.7,0.029,0.09,0.253,0.516,0.38,0
Don Reid,23,47,2.8,2.1,0.3,-1.5,0.092,0.159,0.154,0.523,0.053,0
Donnie Boyce,23,22,2.5,0.7,0.6,-10.3,0.051,0.059,0.244,0.378,0.146,0
Donny Marshall,24,56,3.1,1.3,0.4,-8.7,0.045,0.118,0.19,0.476,0.085,0
Ed O'Bannon,24,64,3.7,2.3,0.6,-8.7,0.06,0.149,0.167,0.399,0.077,0
David Vaughn,24,35,2.3,2.7,0.2,-7.5,0.128,0.216,0.172,0.475,0.045,0
Derek Fisher,22,80,3.9,1.2,1.5,5.1,0.031,0.087,0.186,0.491,0.223,0
Shandon Anderson,23,65,5.9,2.8,0.8,2.5,0.065,0.139,0.193,0.534,0.074,0
Shareef Abdur-Rahim,20,80,18.7,6.9,2.2,-12.3,0.089,0.142,0.275,0.518,0.12,1
Shawn Respert,25,41,4.2,1.0,1.0,-4.1,0.031,0.065,0.164,0.551,0.132,0
Samaki Walker,21,43,4.9,3.4,0.4,-12.6,0.094,0.198,0.201,0.485,0.05,0
Roy Rogers,23,82,6.6,4.7,0.6,-13.6,0.088,0.155,0.154,0.518,0.042,0
Stephon Marbury,20,67,15.8,2.7,7.8,-3.1,0.028,0.066,0.244,0.519,0.373,1
Steve Hamer,23,35,2.2,1.7,0.2,-3.1,0.065,0.181,0.126,0.545,0.037,0
Steve Nash,23,65,3.3,1.0,2.1,-8.5,0.026,0.083,0.17,0.539,0.301,1
Walter McCarty,23,35,1.8,0.7,0.4,3.2,0.056,0.08,0.217,0.431,0.116,0
Vitaly Potapenko,22,80,5.8,2.7,0.5,-0.2,0.106,0.119,0.234,0.486,0.064,0
Tyus Edney,24,70,6.9,1.6,3.2,-2.0,0.028,0.067,0.192,0.499,0.264,0
Travis Knight,22,71,4.8,4.5,0.5,6.2,0.127,0.182,0.142,0.536,0.052,0
Travis Best,24,76,9.9,2.2,4.2,2.5,0.021,0.074,0.193,0.533,0.265,0
Theo Ratliff,24,76,5.8,3.4,0.2,7.3,0.11,0.134,0.168,0.566,0.016,0
Todd Fuller,22,75,4.0,3.3,0.3,-8.6,0.127,0.171,0.166,0.48,0.04,0
Tony Delk,23,61,5.4,1.6,1.6,0.9,0.044,0.09,0.182,0.596,0.187,0
Loren Meyer,24,54,4.9,2.7,0.4,-6.7,0.085,0.14,0.215,0.489,0.046,0
Lorenzen Wright,21,77,7.3,6.1,0.6,-3.7,0.12,0.168,0.146,0.503,0.039,0
Lou Roe,24,17,2.4,0.8,0.4,-14.4,0.054,0.069,0.249,0.355,0.103,0
Malik Rose,22,54,3.0,3.0,0.6,1.3,0.169,0.219,0.161,0.515,0.089,0
Marcus Brown,23,21,3.9,0.7,1.0,4.0,0.027,0.07,0.221,0.523,0.169,0
Marcus Camby,23,63,14.8,6.3,1.5,-1.5,0.079,0.165,0.241,0.523,0.092,0
