PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FullName,isallstar
23.0,72,0.0,894.0,115,272,0.423,0.0,10.0,0.0,102,127,0.803,32.0,65.0,97.0,140,40.0,4.0,92.0,101,332,Alaa Abdelnaby,0
24.0,77,1.0,1579.0,285,606,0.47,1.0,8.0,0.125,239,311,0.768,52.0,108.0,160.0,335,81.0,10.0,185.0,182,810,Zaid Abdul-Aziz,0
26.0,70,22.0,1181.0,212,506,0.419,6.0,24.0,0.25,74,93,0.796,38.0,80.0,118.0,90,20.0,6.0,71.0,71,504,Kareem Abdul-Jabbar,1
28.0,41,3.0,307.0,71,159,0.447,2.0,8.0,0.25,14,21,0.667,17.0,33.0,50.0,33,14.0,6.0,16.0,24,158,Mahmoud Abdul-Rauf,0
24.0,47,9.0,432.0,44,140,0.314,13.0,44.0,0.295,19,27,0.704,24.0,64.0,88.0,25,14.0,8.0,22.0,55,120,Tariq Abdul-Wahad,0
25.0,27,0.0,126.0,18,43,0.419,5.0,9.0,0.556,15,20,0.75,19.0,20.0,39.0,5,6.0,3.0,10.0,21,56,Shareef Abdur-Rahim,1
27.0,1,0.0,7.0,0,3,0.0,0.0,2.0,0.0,0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,2,0,Tom Abernethy,0
24.0,5,0.0,28.0,4,14,0.286,2.0,8.0,0.25,2,2,1.0,0.0,4.0,4.0,3,0.0,0.0,0.0,0,12,Forest Able,0
22.0,53,0.0,394.0,43,98,0.439,0.0,2.0,0.0,22,37,0.595,17.0,34.0,51.0,48,20.0,0.0,44.0,32,108,Alex Abrines,0
23.0,58,6.0,1141.0,126,267,0.472,12.0,36.0,0.333,78,92,0.848,25.0,77.0,102.0,151,48.0,0.0,80.0,83,342,Precious Achiuwa,0
27.0,1,0.0,17.0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.0,2.0,0,0.0,0.0,1.0,2,0,Don Adams,0
22.0,28,0.0,85.0,15,45,0.333,0.0,1.0,0.0,10,15,0.667,6.0,15.0,21.0,6,3.0,4.0,6.0,20,40,Hassan Adams,0
24.0,20,0.0,124.0,27,57,0.474,0.0,0.0,0.0,6,9,0.667,12.0,32.0,44.0,5,1.0,5.0,10.0,29,60,Jaylen Adams,0
29.0,24,3.0,166.0,15,46,0.326,6.0,26.0,0.231,3,4,0.75,2.0,9.0,11.0,30,3.0,0.0,7.0,11,39,Jordan Adams,0
23.0,1,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,Michael Adams,1
19.0,22,0.0,355.0,56,102,0.549,0.0,2.0,0.0,12,14,0.857,24.0,62.0,86.0,20,3.0,17.0,24.0,44,124,Steven Adams,0
20.0,16,0.0,118.0,17,41,0.415,0.0,0.0,0.0,0,0,0.0,12.0,24.0,36.0,9,2.0,6.0,8.0,12,34,Rafael Addison,0
24.0,43,1.0,795.0,69,197,0.35,31.0,106.0,0.292,13,18,0.722,39.0,79.0,118.0,85,29.0,13.0,55.0,71,182,Bam Adebayo,1
25.0,26,6.0,294.0,24,66,0.364,10.0,32.0,0.313,9,14,0.643,8.0,32.0,40.0,16,13.0,5.0,21.0,24,67,Deng Adel,0
23.0,34,0.0,339.0,37,93,0.398,7.0,24.0,0.292,4,4,1.0,9.0,28.0,37.0,39,13.0,2.0,23.0,45,85,Rick Adelman,0
24.0,13,0.0,62.0,6,16,0.375,2.0,4.0,0.5,0,0,0.0,0.0,6.0,6.0,11,2.0,0.0,12.0,5,14,Jeff Adrien,0
26.0,44,5.0,424.0,50,150,0.333,10.0,38.0,0.263,16,27,0.593,12.0,25.0,37.0,55,15.0,0.0,46.0,46,126,Arron Afflalo,0
27.0,25,11.0,447.0,75,187,0.401,18.0,57.0,0.316,28,41,0.683,7.0,25.0,32.0,64,12.0,2.0,37.0,32,196,Ochai Agbaji,0
23.0,37,0.0,196.0,25,63,0.397,9.0,28.0,0.321,13,20,0.65,8.0,18.0,26.0,19,11.0,3.0,11.0,17,72,Josh Akognon,0
24.0,2,0.0,3.0,1,1,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,DeVaughn Akoon-Purcell,0
20.0,25,25.0,738.0,129,263,0.49,4.0,16.0,0.25,46,66,0.697,50.0,88.0,138.0,42,31.0,5.0,47.0,42,308,Solomon Alabi,0
21.0,76,72.0,2408.0,443,899,0.493,9.0,35.0,0.257,175,228,0.768,123.0,272.0,395.0,130,69.0,29.0,116.0,154,1070,Mark Alarie,0
22.0,66,18.0,1101.0,136,338,0.402,38.0,118.0,0.322,98,118,0.831,29.0,90.0,119.0,162,48.0,12.0,133.0,106,408,Gary Alcorn,0
24.0,11,1.0,110.0,11,28,0.393,2.0,9.0,0.222,9,13,0.692,2.0,7.0,9.0,11,3.0,0.0,10.0,13,33,Santi Aldama,0
20.0,77,72.0,2267.0,268,639,0.419,61.0,189.0,0.323,108,160,0.675,33.0,164.0,197.0,334,89.0,7.0,151.0,166,705,LaMarcus Aldridge,1
21.0,82,82.0,2774.0,484,1043,0.464,82.0,243.0,0.337,219,290,0.755,33.0,183.0,216.0,432,71.0,4.0,198.0,174,1269,Chuck Aleksinas,0
23.0,64,3.0,869.0,101,247,0.409,7.0,26.0,0.269,41,62,0.661,66.0,150.0,216.0,29,25.0,32.0,31.0,100,250,Cory Alexander,0
24.0,76,0.0,963.0,103,202,0.51,0.0,1.0,0.0,46,76,0.605,83.0,112.0,195.0,34,41.0,48.0,32.0,150,252,Courtney Alexander,0
23.0,63,57.0,1804.0,248,549,0.452,60.0,178.0,0.337,43,78,0.551,90.0,210.0,300.0,134,73.0,29.0,81.0,142,599,Ty-Shon Alexander,0
24.0,76,76.0,2758.0,456,939,0.486,152.0,395.0,0.385,113,155,0.729,79.0,325.0,404.0,269,75.0,32.0,147.0,148,1177,Victor Alexander,0
23.0,60,26.0,1654.0,318,640,0.497,37.0,129.0,0.287,164,212,0.774,82.0,193.0,275.0,127,32.0,13.0,94.0,125,837,Nickeil Alexander-Walker,0
24.0,40,2.0,695.0,148,298,0.497,18.0,54.0,0.333,67,94,0.713,28.0,100.0,128.0,51,12.0,7.0,43.0,68,381,Steve Alford,0
24.0,27,0.0,437.0,61,116,0.526,0.0,3.0,0.0,34,58,0.586,42.0,65.0,107.0,18,9.0,12.0,24.0,75,156,Rawle Alkins,0
25.0,1,0.0,6.0,0,1,0.0,0.0,1.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,0.0,5.0,2,0,Bob Allen,0
24.0,28,1.0,181.0,27,79,0.342,0.0,1.0,0.0,18,22,0.818,15.0,15.0,30.0,10,3.0,7.0,21.0,37,72,Grayson Allen,0
23.0,35,0.0,284.0,43,97,0.443,0.0,5.0,0.0,28,36,0.778,30.0,35.0,65.0,15,19.0,7.0,22.0,62,114,Randy Allen,0
24.0,5,0.0,20.0,3,4,0.75,0.0,0.0,0.0,0,0,0.0,1.0,1.0,2.0,1,1.0,0.0,1.0,4,6,Ray Allen,1
24.0,35,0.0,395.0,28,80,0.35,12.0,49.0,0.245,16,22,0.727,4.0,46.0,50.0,39,9.0,2.0,23.0,45,84,Odis Allison,0
25.0,5,0.0,40.0,3,15,0.2,1.0,6.0,0.167,2,3,0.667,1.0,6.0,7.0,6,1.0,0.0,4.0,6,9,Lance Allred,0
22.0,52,6.0,868.0,149,267,0.558,0.0,2.0,0.0,30,42,0.714,86.0,114.0,200.0,41,17.0,37.0,31.0,77,328,Darrell Allums,0
23.0,64,1.0,1483.0,225,511,0.44,0.0,3.0,0.0,40,57,0.702,112.0,174.0,286.0,53,27.0,36.0,49.0,113,490,Morris Almond,0
23.0,24,2.0,144.0,21,51,0.412,1.0,6.0,0.167,22,31,0.71,17.0,13.0,30.0,2,5.0,3.0,12.0,16,65,Derrick Alston,0
24.0,81,74.0,2097.0,354,661,0.536,12.0,27.0,0.444,222,321,0.692,218.0,216.0,434.0,126,94.0,40.0,144.0,190,942,Rafer Alston,0
21.0,1,0.0,4.0,1,2,0.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2,Lou Amundson,0
22.0,3,0.0,21.0,2,7,0.286,0.0,2.0,0.0,1,2,0.5,2.0,4.0,6.0,3,2.0,0.0,0.0,5,5,Bob Anderegg,0
27.0,64,2.0,576.0,55,127,0.433,15.0,54.0,0.278,22,43,0.512,6.0,62.0,68.0,37,25.0,7.0,29.0,58,147,Chris Andersen,0
21.0,78,78.0,2808.0,407,947,0.43,50.0,177.0,0.282,394,465,0.847,61.0,339.0,400.0,611,175.0,6.0,183.0,218,1258,David Andersen,0
22.0,64,64.0,2353.0,381,871,0.437,50.0,143.0,0.35,292,357,0.818,54.0,226.0,280.0,569,118.0,3.0,161.0,154,1104,Alan Anderson,0
20.0,79,14.0,1143.0,149,376,0.396,19.0,70.0,0.271,65,84,0.774,44.0,115.0,159.0,60,41.0,16.0,67.0,187,382,Eric Anderson,0
21.0,65,9.0,862.0,120,276,0.435,30.0,78.0,0.385,44,64,0.688,15.0,56.0,71.0,49,29.0,4.0,47.0,121,314,Greg Anderson,0
23.0,49,0.0,458.0,61,137,0.445,4.0,22.0,0.182,16,26,0.615,4.0,29.0,33.0,149,10.0,2.0,32.0,47,142,Kim Anderson,0
